DEPARTAMENTO;CLASE;TIPO;NOMBRE;NOMBRE CIENTÍFICO;IMAGEN;ICONO
Boyacá;Animales;Introducida;No disponible;Parasteatoda tepidariorum;https://inaturalist-open-data.s3.amazonaws.com/photos/245771497/small.jpg;No disponible
Boyacá;Animales;Introducida;Chinche Verde Africana;Nezara viridula;https://inaturalist-open-data.s3.amazonaws.com/photos/107190004/small.jpg;No disponible
Boyacá;Animales;Introducida;Perro Doméstico;Canis familiaris;https://inaturalist-open-data.s3.amazonaws.com/photos/215940095/small.jpeg;No disponible
Boyacá;Animales;Introducida;Pato Norteño;Anas platyrhynchos;https://inaturalist-open-data.s3.amazonaws.com/photos/95268822/small.jpg;No disponible
Boyacá;Animales;Introducida;Cochinilla Mediterránea;Armadillidium vulgare;https://inaturalist-open-data.s3.amazonaws.com/photos/175293083/small.jpeg;No disponible
Boyacá;Animales;Introducida;Cochinilla Europea;Porcellio scaber;https://inaturalist-open-data.s3.amazonaws.com/photos/355369366/small.jpg;No disponible
Boyacá;Animales;Introducida;Cucaracha Australiana;Periplaneta australasiae;https://inaturalist-open-data.s3.amazonaws.com/photos/2677557/small.jpg;No disponible
Boyacá;Animales;Introducida;Besucona Asiática;Hemidactylus frenatus;https://static.inaturalist.org/photos/11761127/small.jpeg;No disponible
Boyacá;Animales;Introducida;No disponible;Spilostethus pandurus;https://inaturalist-open-data.s3.amazonaws.com/photos/62087246/small.jpeg;No disponible
Boyacá;Animales;Introducida;Mosca Zángano Europea;Eristalis tenax;https://inaturalist-open-data.s3.amazonaws.com/photos/19770890/small.jpg;No disponible
Boyacá;Animales;Introducida;Viuda Café;Latrodectus geometricus;https://inaturalist-open-data.s3.amazonaws.com/photos/29119102/small.jpg;No disponible
Boyacá;Animales;Introducida;Falsa Viuda Negra Mordedora;Steatoda nobilis;https://inaturalist-open-data.s3.amazonaws.com/photos/53352329/small.jpg;No disponible
Boyacá;Animales;Introducida;Gallineta Pintada;Numida meleagris;https://inaturalist-open-data.s3.amazonaws.com/photos/199644869/small.jpg;No disponible
Boyacá;Animales;Introducida;Ratón Casero Eurasiático;Mus musculus;https://inaturalist-open-data.s3.amazonaws.com/photos/114043454/small.jpg;No disponible
Boyacá;Animales;Introducida;Mosca del Establo;Stomoxys calcitrans;https://static.inaturalist.org/photos/174154594/small.jpg;No disponible
Boyacá;Animales;Introducida;Mosca Doméstica;Musca domestica;https://inaturalist-open-data.s3.amazonaws.com/photos/79611144/small.jpeg;No disponible
Boyacá;Animales;Introducida;Trucha Arcoiris;Oncorhynchus mykiss;https://static.inaturalist.org/photos/60921460/small.jpg;No disponible
Boyacá;Animales;Introducida;Babosa Amarilla;Limacus flavus;https://inaturalist-open-data.s3.amazonaws.com/photos/185447571/small.jpeg;No disponible
